Entity,Code,Year,Wind per capita (kWh)
Austria,AUT,2018,1685.741
Austria,AUT,2019,2056.042
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.617
Azerbaijan,AZE,2010,0.144
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.218
Azerbaijan,AZE,2014,0.616
Azerbaijan,AZE,2015,1.209
Azerbaijan,AZE,2016,5.889
Azerbaijan,AZE,2017,5.612
Azerbaijan,AZE,2018,20.533
Azerbaijan,AZE,2019,33.182
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0.03
Bangladesh,BGD,2007,0.03
Bangladesh,BGD,2008,0.053
Bangladesh,BGD,2009,0.092
Bangladesh,BGD,2010,0.09
Bangladesh,BGD,2011,0.089
Bangladesh,BGD,2012,0.087
Bangladesh,BGD,2013,0.085
Bangladesh,BGD,2014,0.084
Bangladesh,BGD,2015,0.082
Bangladesh,BGD,2016,0.081
Bangladesh,BGD,2017,0.08
Bangladesh,BGD,2018,0.078
Bangladesh,BGD,2019,0.077
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.284
Belarus,BLR,2005,0.281
Belarus,BLR,2006,0.281
Belarus,BLR,2007,0.28
Belarus,BLR,2008,0.279
Belarus,BLR,2009,0.278
Belarus,BLR,2010,0.277
Belarus,BLR,2011,1.101
Belarus,BLR,2012,1.641
Belarus,BLR,2013,2.173
Belarus,BLR,2014,2.428
Belarus,BLR,2015,10.452
Belarus,BLR,2016,19.435
Belarus,BLR,2017,25.661
Belarus,BLR,2018,26.029
Belarus,BLR,2019,27.86
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,1.676
Belgium,BEL,1988,2.231
Belgium,BEL,1989,1.948
Belgium,BEL,1990,1.943
Belgium,BEL,1991,2.214
Belgium,BEL,1992,2.481
Belgium,BEL,1993,2.196
Belgium,BEL,1994,2.462
Belgium,BEL,1995,2.454
Belgium,BEL,1996,2.177
Belgium,BEL,1997,2.174
Belgium,BEL,1998,2.985
Belgium,BEL,1999,3.521
Belgium,BEL,2000,4.323
Belgium,BEL,2001,9.895
Belgium,BEL,2002,15.079
Belgium,BEL,2003,23.01
Belgium,BEL,2004,36.679
Belgium,BEL,2005,57.893
Belgium,BEL,2006,92.128
Belgium,BEL,2007,121.913
Belgium,BEL,2008,156
Belgium,BEL,2009,240.605
Belgium,BEL,2010,307.955
Belgium,BEL,2011,543.987
Belgium,BEL,2012,639.235
Belgium,BEL,2013,841.249
Belgium,BEL,2014,1046.746
Belgium,BEL,2015,1249.194
Belgium,BEL,2016,1204.395
Belgium,BEL,2017,1425.942
Belgium,BEL,2018,1615.801
Belgium,BEL,2019,2045.576
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.034
Brazil,BRA,1997,0.066
Brazil,BRA,1998,0.082
Brazil,BRA,1999,0.032
Brazil,BRA,2000,0.016
Brazil,BRA,2001,0.544
Brazil,BRA,2002,0.932
Brazil,BRA,2003,0.914
Brazil,BRA,2004,0.897
Brazil,BRA,2005,1.343
Brazil,BRA,2006,3.367
Brazil,BRA,2007,9.26
Brazil,BRA,2008,16.262
Brazil,BRA,2009,16.751
Brazil,BRA,2010,28.997
Brazil,BRA,2011,35.488
Brazil,BRA,2012,65.271
Brazil,BRA,2013,83.745
Brazil,BRA,2014,153.252
Brazil,BRA,2015,267.557
Brazil,BRA,2016,408.5
Brazil,BRA,2017,509.701
Brazil,BRA,2018,575.165
Brazil,BRA,2019,655.083
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.35
Bulgaria,BGR,2005,1.75
Bulgaria,BGR,2006,7.006
Bulgaria,BGR,2007,16.477
Bulgaria,BGR,2008,42.803
Bulgaria,BGR,2009,83.19
Bulgaria,BGR,2010,239.14
Bulgaria,BGR,2011,302.379
Bulgaria,BGR,2012,428.825
Bulgaria,BGR,2013,482.548
Bulgaria,BGR,2014,467.469
Bulgaria,BGR,2015,510.169
Bulgaria,BGR,2016,501.06
Bulgaria,BGR,2017,529.451
Bulgaria,BGR,2018,464.555
Bulgaria,BGR,2019,462.412
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0.108
Canada,CAN,1986,0.107
Canada,CAN,1987,0.105
Canada,CAN,1988,0.104
Canada,CAN,1989,0.102
Canada,CAN,1990,0.194
Canada,CAN,1991,0.191
Canada,CAN,1992,5.807
Canada,CAN,1993,5.741
Canada,CAN,1994,5.679
Canada,CAN,1995,5.62
Canada,CAN,1996,5.846
Canada,CAN,1997,5.791
Canada,CAN,1998,5.737
Canada,CAN,1999,14.85
Canada,CAN,2000,23.975
Canada,CAN,2001,29.403
Canada,CAN,2002,35.618
Canada,CAN,2003,59.699
Canada,CAN,2004,80.406
Canada,CAN,2005,129.794
Canada,CAN,2006,201.106
Canada,CAN,2007,240.145
Canada,CAN,2008,299.98
Canada,CAN,2009,516.331
Canada,CAN,2010,666.134
Canada,CAN,2011,764.45
Canada,CAN,2012,834.307
Canada,CAN,2013,808.427
Canada,CAN,2014,914.601
Canada,CAN,2015,1893.541
Canada,CAN,2016,2138.099
Canada,CAN,2017,2144.836
Canada,CAN,2018,2224.703
Canada,CAN,2019,2261.838
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,1.245
Chile,CHL,2002,1.224
Chile,CHL,2003,1.203
Chile,CHL,2004,0.845
Chile,CHL,2005,1.164
Chile,CHL,2006,1.144
Chile,CHL,2007,1.8
Chile,CHL,2008,6.023
Chile,CHL,2009,12.276
Chile,CHL,2010,49.712
Chile,CHL,2011,50.764
Chile,CHL,2012,60.454
Chile,CHL,2013,79.418
Chile,CHL,2014,206.803
Chile,CHL,2015,297.711
Chile,CHL,2016,338.617
Chile,CHL,2017,490.737
Chile,CHL,2018,476.122
Chile,CHL,2019,692.509
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.005
China,CHN,1991,0.021
China,CHN,1992,0.302
China,CHN,1993,0.483
China,CHN,1994,0.867
China,CHN,1995,1.379
China,CHN,1996,0.208
China,CHN,1997,0.436
China,CHN,1998,0.776
China,CHN,1999,1.027
China,CHN,2000,1.27
China,CHN,2001,1.528
China,CHN,2002,1.756
China,CHN,2003,2.065
China,CHN,2004,2.614
China,CHN,2005,3.934
China,CHN,2006,7.413
China,CHN,2007,10.813
China,CHN,2008,25.548
China,CHN,2009,53.224
China,CHN,2010,94.098
China,CHN,2011,139.504
China,CHN,2012,191.757
China,CHN,2013,254.324
China,CHN,2014,290.529
China,CHN,2015,333.727
China,CHN,2016,428.355
China,CHN,2017,535.882
China,CHN,2018,636.819
China,CHN,2019,700.665
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,3.345
Colombia,COL,2005,3.121
Colombia,COL,2006,3.897
Colombia,COL,2007,3.03
Colombia,COL,2008,3.216
Colombia,COL,2009,3.383
Colombia,COL,2010,2.224
Colombia,COL,2011,2.342
Colombia,COL,2012,3.067
Colombia,COL,2013,3.173
Colombia,COL,2014,3.805
Colombia,COL,2015,3.64
Colombia,COL,2016,2.656
Colombia,COL,2017,0.157
Colombia,COL,2018,2.774
Colombia,COL,2019,2.929
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,1.235
Croatia,HRV,2005,6.144
Croatia,HRV,2006,11.619
Croatia,HRV,2007,21.313
Croatia,HRV,2008,24.257
Croatia,HRV,2009,32.635
Croatia,HRV,2010,83.739
Croatia,HRV,2011,120.771
Croatia,HRV,2012,197.259
Croatia,HRV,2013,309.48
Croatia,HRV,2014,436.51
Croatia,HRV,2015,475.713
Croatia,HRV,2016,605.845
Croatia,HRV,2017,719.58
Croatia,HRV,2018,798.599
Croatia,HRV,2019,863.169
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.951
Cyprus,CYP,2005,0.929
Cyprus,CYP,2006,0.907
Cyprus,CYP,2007,0.889
Cyprus,CYP,2008,0.869
Cyprus,CYP,2009,0.851
Cyprus,CYP,2010,72.622
Cyprus,CYP,2011,262.602
Cyprus,CYP,2012,419.838
Cyprus,CYP,2013,516.972
Cyprus,CYP,2014,406.258
Cyprus,CYP,2015,483.416
Cyprus,CYP,2016,487.271
Cyprus,CYP,2017,447.988
Cyprus,CYP,2018,461.144
Cyprus,CYP,2019,491.807
Czechia,CZE,1965,0
Czechia,CZE,1966,0
Czechia,CZE,1967,0
Czechia,CZE,1968,0
Czechia,CZE,1969,0
Czechia,CZE,1970,0
Czechia,CZE,1971,0
Czechia,CZE,1972,0
Czechia,CZE,1973,0
Czechia,CZE,1974,0
Czechia,CZE,1975,0
Czechia,CZE,1976,0
Czechia,CZE,1977,0
Czechia,CZE,1978,0
Czechia,CZE,1979,0
Czechia,CZE,1980,0
Czechia,CZE,1981,0
Czechia,CZE,1982,0
Czechia,CZE,1983,0
Czechia,CZE,1984,0
Czechia,CZE,1985,0
Czechia,CZE,1986,0
Czechia,CZE,1987,0
Czechia,CZE,1988,0
Czechia,CZE,1989,0
Czechia,CZE,1990,0
Czechia,CZE,1991,0
Czechia,CZE,1992,0
Czechia,CZE,1993,0
Czechia,CZE,1994,0
Czechia,CZE,1995,0
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0
Czechia,CZE,2001,0.054
Czechia,CZE,2002,0.428
Czechia,CZE,2003,1.038
Czechia,CZE,2004,2.617
Czechia,CZE,2005,5.58
Czechia,CZE,2006,12.815
Czechia,CZE,2007,32.081
Czechia,CZE,2008,61.952
Czechia,CZE,2009,72.057
Czechia,CZE,2010,83.017
Czechia,CZE,2011,97.312
Czechia,CZE,2012,101.584
Czechia,CZE,2013,115.667
Czechia,CZE,2014,114.498
Czechia,CZE,2015,136.642
Czechia,CZE,2016,117.7
Czechia,CZE,2017,138.859
Czechia,CZE,2018,141.986
Czechia,CZE,2019,162.162
Denmark,DNK,1965,0
Denmark,DNK,1966,0
Denmark,DNK,1967,0
Denmark,DNK,1968,0
Denmark,DNK,1969,0
Denmark,DNK,1970,0
Denmark,DNK,1971,0
Denmark,DNK,1972,0
Denmark,DNK,1973,0
Denmark,DNK,1974,0
Denmark,DNK,1975,0
Denmark,DNK,1976,0
Denmark,DNK,1977,0
Denmark,DNK,1978,1.631
Denmark,DNK,1979,3.256
Denmark,DNK,1980,5.692
Denmark,DNK,1981,5.691
Denmark,DNK,1982,10.031
Denmark,DNK,1983,14.703
Denmark,DNK,1984,18.026
Denmark,DNK,1985,27.919
Denmark,DNK,1986,68.209
Denmark,DNK,1987,94.348
Denmark,DNK,1988,158.196
Denmark,DNK,1989,231.969
Denmark,DNK,1990,329.757
Denmark,DNK,1991,398.804
Denmark,DNK,1992,491.643
Denmark,DNK,1993,553.416
Denmark,DNK,1994,606.09
Denmark,DNK,1995,624.934
Denmark,DNK,1996,648.536
Denmark,DNK,1997,1017.958
Denmark,DNK,1998,1477.936
